,TV,Name,Type,Population,Local_Services_Access_pct,Inter_Service_Access_pct,Cinema_Access_pct,Sport_membership_pct,HS_Graduate_pct,HS_Graduate_20-29yo_pct,MW_Employment_Delta,MW_Salary_Delta,Employment_Rate_pct,Stable_Employment_pct,Youth_Occupation_Rate_pct,Net_Hourly_Wage,LT_Unemployment_pct,Inadequate_Employment_pct,Artificial_Area_pct,Job_Access_pct,Residential_Overcrowding_pct,No_Bathroom_pct,Lonely_Seniors_pct,Single_Parent_pct,Net_Family_Income,Mortality_Index,GP_FTE_per_100k,GP_Pharm_Access_pct,Public_Transport_pct,Vote_Participation_pct,Agenda_21_pct
0,75056,Paris,1,2249975,100.0,100.0,100.0,7.7,70.1,87.9,5.4,22.1,81.5,83.2,87.3,155.3,4.7,46.9,83.5,67.6,30.4,7.0,50.0,18.2,160.6,81.6,56,100.0,63.5,80.2,100.0
1,93066,Saint-Denis,1,107762,100.0,100.0,100.0,16.0,34.6,58.1,8.4,6.0,67.2,81.7,69.4,89.0,10.7,59.3,98.1,45.1,43.9,9.7,43.5,24.2,67.4,102.9,66,100.0,59.7,69.7,100.0
2,95018,Argenteuil,1,104282,100.0,100.0,100.0,8.3,36.9,62.3,11.4,8.0,75.2,85.2,74.0,97.6,7.1,28.0,89.5,48.6,28.2,6.3,41.3,19.2,83.5,100.4,50,100.0,41.7,73.1,0.0
3,93048,Montreuil,1,103068,100.0,100.0,100.0,6.1,45.7,65.1,2.3,4.8,75.1,82.3,71.6,102.6,8.2,22.5,88.6,34.5,33.4,6.3,47.1,22.8,84.3,98.8,63,100.0,57.5,73.3,100.0
4,94028,Créteil,1,90528,100.0,100.0,100.0,6.7,51.9,73.4,8.1,9.8,78.1,86.8,79.0,99.8,5.9,30.6,95.8,51.4,30.5,5.3,42.9,23.5,91.2,88.5,65,100.0,47.2,76.8,0.0
5,92050,Nanterre,1,89476,100.0,100.0,100.0,6.4,45.8,67.8,4.1,9.9,75.9,85.5,75.8,111.5,6.5,73.6,94.6,58.1,29.6,5.3,37.8,22.1,94.2,111.0,54,100.0,49.2,76.4,0.0
6,92026,Courbevoie,1,88530,100.0,100.0,100.0,9.9,68.5,86.8,5.9,17.9,86.8,90.2,87.5,149.7,3.3,73.3,94.7,49.5,21.5,3.6,43.7,16.6,150.7,74.9,55,100.0,48.6,77.7,100.0
7,94081,Vitry-sur-Seine,1,86375,100.0,100.0,100.0,6.1,40.3,67.5,8.0,7.6,75.9,86.2,76.2,93.7,6.4,27.5,87.4,48.0,29.8,7.0,41.0,21.0,82.0,88.3,62,100.0,48.6,73.7,0.0
8,92025,Colombes,1,85102,100.0,100.0,100.0,7.1,48.8,69.0,7.5,10.8,79.9,88.1,78.5,123.2,5.9,13.0,95.7,55.6,27.4,5.9,40.2,20.4,111.5,92.3,52,100.0,46.8,77.2,100.0
9,92004,Asnières-sur-Seine,1,83376,100.0,100.0,100.0,8.6,57.9,79.3,8.1,15.7,82.8,89.2,82.3,135.5,4.5,52.0,95.2,45.3,28.5,6.4,42.3,17.9,132.6,95.2,57,100.0,53.5,79.4,100.0
